セッションID,協力者ID,会話ID,会話概要,形式,場所,活動,話者間の関係性,収録年,会話時間,話者数,コア,備考,split,,,,,,
C001_002,C001,C001_002,友人宅で友人と雑談,雑談,室内_友人知人宅,休息,友人知人,2016年,17,2,0,会話[C001_001]のあと、協力者は友人の家に泊まり、起床後に会話。友人の趣味であるトライアスロンや使用する用具、ルールなどについて話している。,,,,split数,割合,split時間,
C001_003,C001,C001_003,自宅で友人に仕事について相談,用談・相談,自宅,休息,友人知人,2016年,46,2,0,友人は協力者の自宅に泊まりに来た。友人がスイーツ好きであることから、協力者が仕事で行なっている地方の特産品を使った主にスイーツを中心とする商品開発について相談している。,,,train,211,80.2%,4556,85.0%
C001_004,C001,C001_004,飲食店で同僚と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,同僚,2016年,17,2,0,2人は同じ仕事に就いたばかりで仲がよい。タイムトラベルをしたとされる人物や政治資金などについて話している。,,,valid,13,4.9%,157,2.9%
C001_005,C001,C001_005,実家近くで母と散歩しながら,雑談,屋外,移動,家族,2016年,17,2,0,実家を訪れた際、母と友人宅まで散歩。母は草花に詳しく、道端で見つけた草花を協力者に説明している。,test,,test,39,14.8%,646,12.1%
C001_006,C001,C001_006,実家近くで母と散歩しながら,雑談,屋外,移動,家族,2016年,18,2,0,会話[C001_005]の友人宅からの帰り道の会話。結局、訪問した友人はおらず、そのまま帰る。道端で見つけた草花に関連することなどを話している。途中、近所に住む知人宅の犬に会いにいく。,,,total,263,,5359,
C001_012,C001,C001_012,同僚宅で同僚と夕食を取りながら,雑談,室内_友人知人宅,食事・付き合い,同僚,2016年,39,2,1,2人は同じ仕事に就いたばかりで仲がよい。共通の知人である職場関係の人や、歴史上の人物、手作り石鹸などについて話している。,,,,,,,
C001_013,C001,C001_013,同僚宅で同僚と飲みながら,雑談,室内_友人知人宅,付き合い,同僚,2016年,34,2,0,2人は同じ仕事に就いたばかりで仲がよい。会話[C001_012]の食事のあとに飲みながら。前半では勤め先の同僚について、関連組織に所属する人たちについて話している。,,,,,,,
C002_003,C002,C002_003,自宅で配偶者とテレビを見ながら朝食,雑談,自宅,食事,家族,2017年,9,2,1,夫が仕事に行く前に自宅のリビングでテレビを見ながら朝食。今日の予定や食事などについて。,,,,,,,
C002_004,C002,C002_004,自宅で息子とお茶をしながら,雑談,自宅,休息,家族,2017年,20,2,0,食べているお菓子の話や息子のアルバイトの話など。,,,,,,,
C002_005,C002,C002_005,配偶者と車で移動中,雑談,交通機関_車,移動,家族,2017年,11,2,0,知人との待ち合わせのために夫と車で移動しながら知人のことなどについて雑談。,test,,,,,,
C002_008,C002,C002_008,買い物のため息子と車で移動中,雑談,交通機関_車,移動,家族,2017年,20,2,1,買い物のために息子が運転する車で移動。息子はよく両親のために車を運転する。,,,,,,,
C002_013,C002,C002_013a,福祉施設の部屋で母と雑談,雑談,公共商業施設_医療福祉施設,休息,家族,2017年,17,2,1,福祉施設にいる母を訪問。協力者や協力者の姉がよく訪問する。施設での生活の話や家族の話など。,,,,,,,
C002_013,C002,C002_013b,福祉施設の部屋で母と雑談,雑談,公共商業施設_医療福祉施設,休息,家族,2017年,12,2,0,福祉施設にいる母を訪問。協力者や協力者の姉がよく訪問する。施設での生活の話や家族の話など。,test,,,,,,
C002_016,C002,C002_016,飲食店で姉と昼食を取りながら,雑談,公共商業施設_飲食店,食事,家族,2017年,46,2,0,姉とはよく会って話す仲。お互いの子どもの話など。2人には同じ大学に通う年の近い息子がいる。,,,,,,,
K001_004,K001,K001_004,飲食店で友人と雑談,雑談,公共商業施設_飲食店,付き合い,友人知人,2016年,17,2,0,昔の同僚で今も仲がよくプライベートでも付き合いのある元同僚(先輩)とお茶をしながら雑談。お互いの誕生日のエピソードや整理整頓などについて話している。,,,,,,,
K001_008,K001,K001_008,飲食店で姉とお茶をしながら,雑談,公共商業施設_飲食店,食事・付き合い,家族,2016年,19,2,1,2人はこの直前に同じ美容院に行ってきたところで、その帰りにカフェに寄った。協力者が数ヶ月前に行った海外旅行のことなどを話している。,,,,,,,
K001_009,K001,K001_009,友人と散歩しながら,雑談,屋外,移動・レジャー活動,友人知人,2016年,10,2,0,元同僚の子どもをベビーカーに乗せて、散歩しながら雑談。2人の元勤務先やそこでの同僚について、また子どもについて話している。,test,,,,,,
K001_010,K001,K001_010,飲食店で友人と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年,27,2,0,仲のよい同僚と、職場や食について話している。同僚は食に関する仕事をしている。,,,,,,,
K001_011,K001,K001_011,自宅で友人と電話で旅行の相談,用談・相談,自宅,その他,友人知人,2016年,24,2,0,一緒に行く旅行に関する相談をするために、協力者が元同僚の友人に電話をかけた。2人は毎年長期休暇の際に一緒に旅行をしており、ここでは今年の旅行について相談している。この会話より前に話した際、旅行先などの希望についてお互い考えておくことを軽く約束していた。,,,,,,,
K001_014,K001,K001_014,飲食店で友人と旅行の相談,用談・相談,公共商業施設_飲食店,食事・その他,友人知人,2016年,51,2,1,友人はプライベートでも仲のよい元同僚。毎年一緒に行っている旅行について、主に宿泊先を相談している。これ以前にも電話などで旅行の相談を行なっている(会話[K001_011]はその1つ)。,,,,,,,
K001_017,K001,K001_017,飲食店で後輩と夕食を取りながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2016年,34,2,0,収録の前の一年間、同じ職場で働いていた後輩で、今は別の職場となった。互いの近況報告や仕事について話している。,,,,,,,
K001_019,K001,K001_019,自宅で妹と電話で雑談,雑談,自宅,休息,家族,2016年,21,2,0,近々行く予定の旅行や仕事のこと、帰省の予定などについてとりとめもなく話している。,,,,,,,
K002_003,K002,K002_003a,自営店舗で知人からマッサージを受けながら,雑談,職場,仕事・身の周りの用事,友人知人,2016年,12,2,1,リフレクソロジーの資格取得のために、マッサージの実施とそのレポート作成が課題となっている知人が、協力者の店舗を訪れ、そこで協力者にマッサージを施しながら雑談をしている。,test,,,,,,
K002_003,K002,K002_003b,自営店舗で知人からマッサージを受けながら,雑談,職場,仕事・身の周りの用事,友人知人,2016年,24,2,0,リフレクソロジーの資格取得のために、マッサージの実施とそのレポート作成が課題となっている知人が、協力者の店舗を訪れ、そこで協力者にマッサージを施しながら雑談をしている。,,,,,,,
K002_004,K002,K002_004,自営店舗で仕事関係者と仕事の打合せ,用談・相談,職場,仕事,仕事関係,2016年,17,2,0,仕事関係者(IC02)はアクセサリーを作っており、協力者の店舗（レンタルスペース）で委託販売を始めた。今回が初めて。販売当日、協力者の店舗で、値段の設定や今後の展開などについて打合せをしている。,,,,,,,
K002_007,K002,K002_007,自宅で娘とスケジュールを確認しながら,用談・相談,自宅,家事雑事,家族,2016年,29,2,0,食事の準備や小学生の息子の塾の送り迎えなどのこともあり、普段から娘のスケジュールを確認している。,,,,,,,
K002_010,K002,K002_010,飲食店で友人と仕事の打合せ,用談・相談,公共商業施設_飲食店,食事・仕事,友人知人,2016年,34,2,0,事業を行なっている友人と、今後何か新しいことができないかを、協力者の店舗で食事しながら相談している。,,,,,,,
K002_012,K002,K002_012,自営店舗で友人と雑談,雑談,職場,付き合い,友人知人,2016年,23,2,0,友人は仲がよく、よく遊びに来て雑談する。お互いの子どもや最近の出来事、共通の知人のことなどについて話している。途中で協力者の息子が学校から戻ってきて少し会話に加わる。友人と息子は顔馴染み。,,,,,,,
K002_016,K002,K002_016,宿泊施設のロビーで友人と雑談,雑談,公共商業施設_宿泊施設,休息,友人知人,2016年,27,2,0,夏期休暇で家族や友人と旅行中。この宿泊施設には何度か来ている。宿泊施設のロビーで、休憩しながら友人と2人でおしゃべりしている。2人ともハワイに何度も旅行した経験があり、主としてハワイについて語っている。,test,,,,,,
